Time, UserID, Wireless Signal Status, Blink, Wink Left, Wink Right, Surprise, Furrow, Smile, Clench, LongTermExcitementRawNorm, ShortTermExcitementRawNorm, ShortTermExcitementRaw, ShortTermExcitementMin, ShortTermExcitementMax, RelaxationRawNorm, RelaxationRaw, RelaxationMin, RelaxationMax, StressRawNorm, StressRaw, StressMin, StressMax, EngagementRawNorm, EngagementRaw, EngagementMin, EngagementMax, InterestRawNorm, InterestRaw, InterestMin, InterestMax, FocusRawNorm, FocusRaw, FocusMin, FocusMax,
0.094148494,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483319104,0.483319104,0,1, 
0.532140851,8192,0,1,0,0,0,0,0,0,0,0,0.483319104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483319104,0.483319104,0,1, 
0.563261747,8192,0,1,0,0,0,0.043564826,0,0,0,0,0.483319104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0.688945234,8192,0,0,0,0,0,0.046650119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0.814128816,8192,0,0,0,0,0,0.249536678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0.845249653,8192,0,0,1,0,0,0.249536678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0.938812315,8192,0,0,1,0,0,0.299169511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.001054049,8192,0,0,0,0,0,0.299169511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.001054049,8192,2,0,0,0,0,0.299169511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.063795805,8192,2,0,0,0,0,0.369937569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.18827939,8192,2,0,0,0,0,0.563399434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.313362956,8192,2,0,0,0,0,0.13011992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.438446403,8192,2,0,0,0,0,0.075724758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.563329935,8192,2,0,0,0,0,0.054054596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.688613534,8192,2,0,0,0,0,0.04305071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.813796997,8192,2,0,0,0,0,0.035029516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1.938280582,8192,2,0,0,0,0,0.028293416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2.063163996,8192,2,0,0,0,0,0.03407599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006692851,0.518100023,0.428657293,0.696985424, 
2.188447714,8192,2,0,0,0,0,0.031595897,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006692851,0.518100023,0.428657293,0.696985424, 
2.313131094,8192,2,0,0,0,0,0,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006692851,0.518100023,0.428657293,0.696985424, 
2.563998222,8192,2,0,0,0,0,0,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006692851,0.518100023,0.428657293,0.696985424, 
2.689481735,8192,2,0,0,0,0,0.233305454,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006692851,0.518100023,0.428657293,0.696985424, 
2.822445393,8192,2,0,0,0,0,0.237522706,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006692851,0.518100023,0.428657293,0.696985424, 
2.947129011,8192,2,0,0,0,0,0.024705209,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006692851,0.518100023,0.428657293,0.696985424, 
3.072012663,8192,2,0,0,0,0,0.019854603,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79E-05,0.518100023,0.428657293,0.696985424, 
3.197496176,8192,2,0,0,0,0,0.024153953,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79E-05,0.518100023,0.428657293,0.696985424, 
3.26033783,8192,2,1,0,0,0,0.024153953,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79E-05,0.518100023,0.428657293,0.696985424, 
3.322779655,8192,2,1,0,0,0,0.025032617,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79E-05,0.518100023,0.428657293,0.696985424, 
3.416542292,8192,2,0,0,0,0,0.025032617,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79E-05,0.518100023,0.428657293,0.696985424, 
3.447863102,8192,2,0,0,0,0,0.023722922,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79E-05,0.518100023,0.428657293,0.696985424, 
3.572946787,8192,2,0,0,0,0,0.026175607,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015600451,0.518100023,0.428657293,0.696985424, 
3.6984303,8192,2,0,0,0,0,0.033273201,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015600451,0.518100023,0.428657293,0.696985424, 
3.831393957,8192,2,0,0,0,0,0.034464642,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015600451,0.518100023,0.428657293,0.696985424, 
3.955877543,8192,2,0,0,0,0,0.042015351,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015600451,0.518100023,0.428657293,0.696985424, 
4.08066082,8192,2,0,0,0,0,0.070668869,0,0,0,0,0.518100023,0.428657293,0.696985424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024313202,0.518100023,0.413043469,0.717759609, 
4.205544472,8192,2,0,0,0,0,0.07354714,0,0,0,0,0.518100023,0.413043469,0.717759609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024313202,0.518100023,0.413043469,0.717759609, 
4.330428123,8192,2,0,0,0,0,0.069491044,0,0,0,0,0.518100023,0.413043469,0.717759609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024313202,0.518100023,0.413043469,0.717759609, 
4.455711842,8192,2,1,0,0,0,0.352528811,0,0,0,0,0.518100023,0.413043469,0.717759609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024313202,0.518100023,0.413043469,0.717759609, 
4.580995083,8192,2,1,0,0,0,0.383102417,0,0,0,0,0.518100023,0.413043469,0.717759609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103654273,0.514615536,0.40979892,0.719426036, 
4.61211586,8192,2,0,0,0,0,0.383102417,0,0,0,0,0.514615536,0.40979892,0.719426036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103654273,0.514615536,0.40979892,0.719426036, 
4.706478596,8192,2,0,0,0,0,0.543393433,0,0,0,0,0.514615536,0.40979892,0.719426036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103654273,0.514615536,0.40979892,0.719426036, 
4.839442253,8192,2,0,0,0,0,0.557457387,0,0,0,0,0.514615536,0.40979892,0.719426036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103654273,0.514615536,0.40979892,0.719426036, 
4.96412611,8192,2,0,0,0,0,0.101535968,0,0,0,0,0.514615536,0.40979892,0.719426036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103654273,0.514615536,0.40979892,0.719426036, 
